info,UBR_Control_kD09107S 75600 W3U12B18R18G3C3A3
land,Evolving Wilds,3,,A,20,2016-05-28T05:59:40+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000236JN/,
land,Foreboding Ruins,4,,B-R,450,2016-05-28T05:59:42+09:00,http://www.hareruyamtg.com/jp/g/gSOI000272JN/,
land,Island,1,,U,20,2016-05-28T05:59:42+09:00,http://www.hareruyamtg.com/jp/g/gSOI000288JN/,
land,Mountain,1,,R,20,2016-05-28T05:59:43+09:00,http://www.hareruyamtg.com/jp/g/gSOI000294JN/,
land,Shivan Reef,3,,C-U-R,400,2016-05-28T05:59:55+09:00,http://www.hareruyamtg.com/jp/g/gORI000251JN/,
land,Smoldering Marsh,4,,B-R,600,2016-05-28T05:59:57+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000247JN/,
land,Sunken Hollow,2,,U-B,600,2016-05-28T05:59:58+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000249JN/,
land,Swamp,5,,B,20,2016-05-28T05:59:59+09:00,http://www.hareruyamtg.com/jp/g/gSOI000291JN/,
land,Wandering Fumarole,3,,U-R,400,2016-05-28T06:00:01+09:00,http://www.hareruyamtg.com/jp/g/gOGW000182JN/,
info,26 Lands 8000
creature,Dragonlord Silumgar,2,4UB,nil,1200,2016-05-28T06:00:03+09:00,http://www.hareruyamtg.com/jp/g/gDTK000009JN/,
creature,Goblin Dark-Dwellers,4,3RR,nil,500,2016-05-28T06:00:05+09:00,http://www.hareruyamtg.com/jp/g/gOGW000110JN/,
creature,JacePERIOD Vryn's Prodigy,4,1U,nil,8200,2016-05-28T06:00:06+09:00,http://www.hareruyamtg.com/jp/g/gORI000060JN/,
creature,KalitasPERIOD Traitor of Ghet,4,2BB,nil,3800,2016-05-28T06:00:08+09:00,http://www.hareruyamtg.com/jp/g/gOGW000086JN/,
info,14 Creatures 52400
spell,Fiery Impulse,3,R,nil,60,2016-05-28T06:00:10+09:00,http://www.hareruyamtg.com/jp/g/gORI000145JN/,
spell,Grasp of Darkness,2,BB,nil,150,2016-05-28T06:00:13+09:00,http://www.hareruyamtg.com/jp/g/gOGW000085JN/,
spell,Kolaghan's Command,3,1BR,nil,2200,2016-05-28T06:00:14+09:00,http://www.hareruyamtg.com/jp/g/gDTK000046JN/,
spell,Ultimate Price,2,1B,nil,80,2016-05-28T06:00:16+09:00,http://www.hareruyamtg.com/jp/g/gDTK000144JN/,
spell,Radiant Flames,1,2R,nil,200,2016-05-28T06:00:18+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000151JN/,
spell,Read the Bones,3,2B,nil,50,2016-05-28T06:00:20+09:00,http://www.hareruyamtg.com/jp/g/gORI000114JN/,
spell,Ruinous Path,3,1BB,nil,400,2016-05-28T06:00:23+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000123JN/,
spell,Transgress the Mind,2,1B,nil,300,2016-05-28T06:00:25+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000101JN/,
spell,ChandraPERIOD Flamecaller,1,4RR,nil,3000,2016-05-28T06:00:26+09:00,http://www.hareruyamtg.com/jp/g/gOGW000104JN/,
info,20 Spells 12390
info,60 MainboardCards 72790 107 W0U6B30R17G0C0
sideboardCards,Dragonmaster Outcast,2,R,nil,250,2016-05-28T06:00:28+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000144JN/,
sideboardCards,Rending Volley,1,R,nil,100,2016-05-28T06:00:30+09:00,http://www.hareruyamtg.com/jp/g/gDTK000115JN/,
sideboardCards,Silumgar's Command,1,3UB,nil,200,2016-05-28T06:00:32+09:00,http://www.hareruyamtg.com/jp/g/gDTK000061JN/,
sideboardCards,Duress,4,B,nil,50,2016-05-28T06:00:33+09:00,http://www.hareruyamtg.com/jp/g/gDTK000173JN/,
sideboardCards,Radiant Flames,3,2R,nil,200,2016-05-28T06:00:36+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000151JN/,
sideboardCards,Fevered Visions,3,1UR,nil,120,2016-05-28T06:00:38+09:00,http://www.hareruyamtg.com/jp/g/gSOI000244JN/,
sideboardCards,Ob Nixilis Reignited,1,3BB,nil,850,2016-05-28T06:00:39+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000119JN/,
info,15 SideboardCards 2810 35 W0U4B7R9G0C0
info,http://www.hareruyamtg.com//jp/k/kD09107S/
