info,WRG_AggrokD09338S 79990 W17U4B4R11G17C0A4
land,Canopy Vista,4,,G-W,500,2016-05-26T05:58:53+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000234JN/,
land,Cinder Glade,3,,R-G,500,2016-05-26T05:59:05+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000235JN/,
land,Evolving Wilds,4,,A,20,2016-05-26T05:59:07+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000236JN/,
land,Forest,5,,G,20,2016-05-26T05:59:08+09:00,http://www.hareruyamtg.com/jp/g/gSOI000297JN/,
land,Fortified Village,1,,G-W,450,2016-05-26T05:59:10+09:00,http://www.hareruyamtg.com/jp/g/gSOI000274JN/,
land,Mountain,1,,R,20,2016-05-26T05:59:10+09:00,http://www.hareruyamtg.com/jp/g/gSOI000294JN/,
land,Needle Spires,3,,R-W,180,2016-05-26T05:59:13+09:00,http://www.hareruyamtg.com/jp/g/gOGW000175JN/,
land,Plains,5,,W,20,2016-05-26T05:59:14+09:00,http://www.hareruyamtg.com/jp/g/gSOI000285JN/,
info,26 Lands 4790
creature,Archangel Avacyn,4,3WW,nil,5200,2016-05-26T05:59:15+09:00,http://www.hareruyamtg.com/jp/g/gSOI000005JN/,
creature,Deathcap Cultivator,2,1G1G,nil,180,2016-05-26T05:59:17+09:00,http://www.hareruyamtg.com/jp/g/gSOI000202JN/,
creature,Dragonlord Atarka,2,5RG,nil,1800,2016-05-26T05:59:19+09:00,http://www.hareruyamtg.com/jp/g/gDTK000005JN/,
creature,LinvalaPERIOD the Preserver,1,4WW,nil,500,2016-05-26T05:59:22+09:00,http://www.hareruyamtg.com/jp/g/gOGW000025JN/,
creature,NissaPERIOD Vastwood Seer,2,2G,nil,2100,2016-05-26T05:59:34+09:00,http://www.hareruyamtg.com/jp/g/gORI000189JN/,
creature,Sylvan Advocate,4,1G,nil,1300,2016-05-26T05:59:35+09:00,http://www.hareruyamtg.com/jp/g/gOGW000144JN/,
creature,Tireless Tracker,3,2G,nil,1400,2016-05-26T05:59:37+09:00,http://www.hareruyamtg.com/jp/g/gSOI000233JN/,
info,18 Creatures 38860
spell,Radiant Flames,1,2R,nil,200,2016-05-26T05:59:38+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000151JN/,
spell,Oath of Nissa,4,G,nil,600,2016-05-26T05:59:40+09:00,http://www.hareruyamtg.com/jp/g/gOGW000140JN/,
spell,Silkwrap,2,1W,nil,200,2016-05-26T05:59:41+09:00,http://www.hareruyamtg.com/jp/g/gDTK000130JN/,
spell,Stasis Snare,4,1WW,nil,150,2016-05-26T05:59:54+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000050JN/,
spell,ChandraPERIOD Flamecaller,1,4RR,nil,3600,2016-05-26T05:59:57+09:00,http://www.hareruyamtg.com/jp/g/gOGW000104JN/,
spell,GideonPERIOD Ally of Zendikar,1,2WW,nil,3400,2016-05-26T05:59:58+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000029JN/,
spell,NahiriPERIOD the Harbinger,3,2RW,nil,4800,2016-05-26T06:00:00+09:00,http://www.hareruyamtg.com/jp/g/gSOI000246JN/,
info,16 Spells 25000
info,60 MainboardCards 68650 134 W25U0B0R8G19C0
sideboardCards,Mountain,1,,R,20,2016-05-26T06:00:01+09:00,http://www.hareruyamtg.com/jp/g/gSOI000294JN/,
sideboardCards,Conclave Naturalists,1,4G,nil,20,2016-05-26T06:00:29+09:00,http://www.hareruyamtg.com/jp/g/gORI000171JN/,
sideboardCards,Lambholt Pacifist,2,1G,nil,150,2016-05-26T06:00:31+09:00,http://www.hareruyamtg.com/jp/g/gSOI000215JN/,
sideboardCards,Clip Wings,1,1G,nil,50,2016-05-26T06:00:33+09:00,http://www.hareruyamtg.com/jp/g/gSOI000197JN/,
sideboardCards,Declaration in Stone,2,1W,nil,1400,2016-05-26T06:00:35+09:00,http://www.hareruyamtg.com/jp/g/gSOI000012JN/,
sideboardCards,Radiant Flames,3,2R,nil,200,2016-05-26T06:00:37+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000151JN/,
sideboardCards,Tragic Arrogance,2,3WW,nil,250,2016-05-26T06:00:39+09:00,http://www.hareruyamtg.com/jp/g/gORI000038JN/,
sideboardCards,Quarantine Field,1,‚w‚wWW,nil,250,2016-05-26T06:00:41+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000043JN/,
sideboardCards,GideonPERIOD Ally of Zendikar,2,2WW,nil,3400,2016-05-26T06:00:42+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000029JN/,
info,15 SideboardCards 11340 44 W12U0B0R3G4C0
info,http://www.hareruyamtg.com//jp/k/kD09338S/
