info,UBG_Control_kD02993W 74280 W4U12B19R4G16C4A4
land,Choked Estuary,1,,U-B,400,2016-05-28T02:13:01+09:00,http://www.hareruyamtg.com/jp/g/gSOI000270JN/,
land,Evolving Wilds,4,,A,20,2016-05-28T02:13:03+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000236JN/,
land,Forest,4,,G,20,2016-05-28T02:13:04+09:00,http://www.hareruyamtg.com/jp/g/gSOI000297JN/,
land,Hissing Quagmire,4,,B-G,750,2016-05-28T02:13:05+09:00,http://www.hareruyamtg.com/jp/g/gOGW000171JN/,
land,Island,1,,U,20,2016-05-28T02:13:06+09:00,http://www.hareruyamtg.com/jp/g/gSOI000288JN/,
land,Llanowar Wastes,2,,C-B-G,400,2016-05-28T02:13:07+09:00,http://www.hareruyamtg.com/jp/g/gORI000248JN/,
land,Sunken Hollow,4,,U-B,600,2016-05-28T02:13:09+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000249JN/,
land,Swamp,4,,B,20,2016-05-28T02:13:10+09:00,http://www.hareruyamtg.com/jp/g/gSOI000291JN/,
land,Yavimaya Coast,2,,C-G-U,300,2016-05-28T02:13:12+09:00,http://www.hareruyamtg.com/jp/g/gORI000252JN/,
info,26 Lands 7460
creature,Den Protector,1,1G,nil,800,2016-05-28T02:13:14+09:00,http://www.hareruyamtg.com/jp/g/gDTK000032JN/,
creature,Dragonlord Silumgar,2,4UB,nil,1200,2016-05-28T02:13:15+09:00,http://www.hareruyamtg.com/jp/g/gDTK000009JN/,
creature,JacePERIOD Vryn's Prodigy,4,1U,nil,8200,2016-05-28T02:13:16+09:00,http://www.hareruyamtg.com/jp/g/gORI000060JN/,
creature,KalitasPERIOD Traitor of Ghet,2,2BB,nil,3800,2016-05-28T02:13:18+09:00,http://www.hareruyamtg.com/jp/g/gOGW000086JN/,
creature,NissaPERIOD Vastwood Seer,2,2G,nil,2000,2016-05-28T02:13:19+09:00,http://www.hareruyamtg.com/jp/g/gORI000189JN/,
creature,Sylvan Advocate,4,1G,nil,1100,2016-05-28T02:13:21+09:00,http://www.hareruyamtg.com/jp/g/gOGW000144JN/,
info,15 Creatures 52000
spell,Grasp of Darkness,3,BB,nil,150,2016-05-28T02:13:22+09:00,http://www.hareruyamtg.com/jp/g/gOGW000085JN/,
spell,Pulse of Murasa,1,2G,nil,30,2016-05-28T02:13:24+09:00,http://www.hareruyamtg.com/jp/g/gOGW000141JN/,
spell,Silumgar's Command,1,3UB,nil,200,2016-05-28T02:13:25+09:00,http://www.hareruyamtg.com/jp/g/gDTK000061JN/,
spell,Ultimate Price,2,1B,nil,80,2016-05-28T02:13:27+09:00,http://www.hareruyamtg.com/jp/g/gDTK000144JN/,
spell,Dark Petition,3,3BB,nil,900,2016-05-28T02:13:28+09:00,http://www.hareruyamtg.com/jp/g/gORI000090JN/,
spell,Languish,2,2BB,nil,1100,2016-05-28T02:13:30+09:00,http://www.hareruyamtg.com/jp/g/gORI000105JN/,
spell,Painful Truths,2,2B,nil,300,2016-05-28T02:13:32+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000120JN/,
spell,Ruinous Path,2,1BB,nil,400,2016-05-28T02:13:34+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000123JN/,
spell,Seasons Past,1,4GG,nil,700,2016-05-28T02:13:36+09:00,http://www.hareruyamtg.com/jp/g/gSOI000226JN/,
spell,Transgress the Mind,2,1B,nil,300,2016-05-28T02:13:38+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000101JN/,
info,19 Spells 8440
info,60 MainboardCards 67900 107 W0U7B33R0G10C0
sideboardCards,Gaea's Revenge,1,5GG,nil,60,2016-05-28T02:13:41+09:00,http://www.hareruyamtg.com/jp/g/gORI000177JN/,
sideboardCards,KalitasPERIOD Traitor of Ghet,1,2BB,nil,3800,2016-05-28T02:13:42+09:00,http://www.hareruyamtg.com/jp/g/gOGW000086JN/,
sideboardCards,Naturalize,1,1G,nil,10,2016-05-28T02:13:49+09:00,http://www.hareruyamtg.com/jp/g/gDTK000205JN/,
sideboardCards,Negate,2,1U,nil,30,2016-05-28T02:13:51+09:00,http://www.hareruyamtg.com/jp/g/gOGW000059JN/,
sideboardCards,To the Slaughter,1,2B,nil,180,2016-05-28T02:13:53+09:00,http://www.hareruyamtg.com/jp/g/gSOI000139JN/,
sideboardCards,Duress,3,B,nil,50,2016-05-28T02:13:54+09:00,http://www.hareruyamtg.com/jp/g/gDTK000173JN/,
sideboardCards,Infinite Obliteration,1,1BB,nil,450,2016-05-28T02:13:55+09:00,http://www.hareruyamtg.com/jp/g/gORI000103JN/,
sideboardCards,Seasons Past,1,4GG,nil,700,2016-05-28T02:13:57+09:00,http://www.hareruyamtg.com/jp/g/gSOI000226JN/,
sideboardCards,Dead Weight,2,B,nil,30,2016-05-28T02:14:18+09:00,http://www.hareruyamtg.com/jp/g/gSOI000106JN/,
sideboardCards,Virulent Plague,1,2B,nil,60,2016-05-28T02:14:20+09:00,http://www.hareruyamtg.com/jp/g/gDTK000145JN/,
sideboardCards,Ob Nixilis Reignited,1,3BB,nil,850,2016-05-28T02:14:22+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000119JN/,
info,15 SideboardCards 6380 42 W0U2B13R0G5C0
info,http://www.hareruyamtg.com//jp/k/kD02993W/
