info,RG_RampkD09435S 48500 W4U4B4R6G15C1A4
land,Evolving Wilds,4,,A,20,2016-05-26T05:15:25+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000236JN/,
land,Forest,11,,G,20,2016-05-26T05:15:26+09:00,http://www.hareruyamtg.com/jp/g/gSOI000297JN/,
land,Mountain,2,,R,20,2016-05-26T05:15:27+09:00,http://www.hareruyamtg.com/jp/g/gSOI000294JN/,
land,Shrine of the Forsaken Gods,4,,nil,180,2016-05-26T05:15:29+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000245JN/,
land,Wastes,1,,C,30,2016-05-26T05:15:31+09:00,http://www.hareruyamtg.com/jp/g/gOGW000185JN/,
info,22 Lands 1090
creature,Deathcap Cultivator,4,1G1G,nil,180,2016-05-26T05:15:33+09:00,http://www.hareruyamtg.com/jp/g/gSOI000202JN/,
creature,Dragonlord Atarka,3,5RG,nil,1800,2016-05-26T05:15:35+09:00,http://www.hareruyamtg.com/jp/g/gDTK000005JN/,
creature,Tireless Tracker,4,2G,nil,1400,2016-05-26T05:15:36+09:00,http://www.hareruyamtg.com/jp/g/gSOI000233JN/,
creature,UlamogPERIOD the Ceaseless Hunger,2,10,nil,1700,2016-05-26T05:15:38+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000015JN/,
creature,World Breaker,1,6G,nil,1300,2016-05-26T05:15:40+09:00,http://www.hareruyamtg.com/jp/g/gOGW000126JN/,
info,14 Creatures 16420
spell,Explosive Vegetation,4,3G,nil,150,2016-05-26T05:15:42+09:00,http://www.hareruyamtg.com/jp/g/gDTK000094JN/,
spell,Ruin in Their Wake,4,1G,nil,30,2016-05-26T05:15:44+09:00,http://www.hareruyamtg.com/jp/g/gOGW000122JN/,
spell,Traverse the Ulvenwald,4,G,nil,500,2016-05-26T05:15:45+09:00,http://www.hareruyamtg.com/jp/g/gSOI000234JN/,
spell,Oath of Nissa,4,G,nil,600,2016-05-26T05:15:47+09:00,http://www.hareruyamtg.com/jp/g/gOGW000140JN/,
spell,Hedron Archive,4,4,CC,50,2016-05-26T05:16:15+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000223JN/,
spell,ChandraPERIOD Flamecaller,4,4RR,nil,3600,2016-05-26T05:16:16+09:00,http://www.hareruyamtg.com/jp/g/gOGW000104JN/,
info,24 Spells 19720
info,60 MainboardCards 37230 184 W0U0B0R11G32C0
sideboardCards,Reality Smasher,3,4C,nil,1100,2016-05-26T05:16:18+09:00,http://www.hareruyamtg.com/jp/g/gOGW000007JN/,
sideboardCards,Void Winnower,1,9,nil,180,2016-05-26T05:16:19+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000017JN/,
sideboardCards,World Breaker,2,6G,nil,1300,2016-05-26T05:16:20+09:00,http://www.hareruyamtg.com/jp/g/gOGW000126JN/,
sideboardCards,Kozilek's Return,3,2R,nil,1500,2016-05-26T05:16:22+09:00,http://www.hareruyamtg.com/jp/g/gOGW000098JN/,
sideboardCards,Warping Wail,3,1C,nil,150,2016-05-26T05:16:24+09:00,http://www.hareruyamtg.com/jp/g/gOGW000012JN/,
sideboardCards,Roast,3,1R,nil,80,2016-05-26T05:16:37+09:00,http://www.hareruyamtg.com/jp/g/gDTK000116JN/,
info,15 SideboardCards 11270 59 W0U0B0R6G2C6
info,http://www.hareruyamtg.com//jp/k/kD09435S/
