info,Monitor_Combo_kD02930W 40890 W15U16B19R11G22C21A11
land,Caves of Koilos,3,,C-W-B,300,2016-05-28T04:26:33+09:00,http://www.hareruyamtg.com/jp/g/gORI000245JN/,
land,Evolving Wilds,4,,A,20,2016-05-28T04:26:35+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000236JN/,
land,Forest,3,,G,20,2016-05-28T04:26:35+09:00,http://www.hareruyamtg.com/jp/g/gSOI000297JN/,
land,Island,1,,U,20,2016-05-28T04:26:36+09:00,http://www.hareruyamtg.com/jp/g/gSOI000288JN/,
land,Llanowar Wastes,4,,C-B-G,400,2016-05-28T04:26:38+09:00,http://www.hareruyamtg.com/jp/g/gORI000248JN/,
land,Plains,1,,W,20,2016-05-28T04:26:39+09:00,http://www.hareruyamtg.com/jp/g/gSOI000285JN/,
land,Swamp,1,,B,20,2016-05-28T04:26:39+09:00,http://www.hareruyamtg.com/jp/g/gSOI000291JN/,
land,Westvale Abbey,3,,C,1600,2016-05-28T04:26:41+09:00,http://www.hareruyamtg.com/jp/g/gSOI000281JN/,
land,Yavimaya Coast,4,,C-G-U,300,2016-05-28T04:26:43+09:00,http://www.hareruyamtg.com/jp/g/gORI000252JN/,
info,24 Lands 8700
creature,Brood Monitor,3,4GG,nil,50,2016-05-28T04:26:45+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000164JN/,
creature,Catacomb Sifter,4,1BG,nil,40,2016-05-28T04:26:47+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000201JN/,
creature,Duskwatch Recruiter,4,1G,nil,250,2016-05-28T04:26:48+09:00,http://www.hareruyamtg.com/jp/g/gSOI000203JN/,
creature,Eldrazi Displacer,4,2W,nil,900,2016-05-28T04:26:50+09:00,http://www.hareruyamtg.com/jp/g/gOGW000013JN/,
creature,Elvish Visionary,4,1G,nil,50,2016-05-28T04:26:52+09:00,http://www.hareruyamtg.com/jp/g/gORI000175JN/,
creature,Loam Dryad,4,G,C-A,50,2016-05-28T04:26:54+09:00,http://www.hareruyamtg.com/jp/g/gSOI000216JN/,
creature,Reflector Mage,4,1WU,nil,180,2016-05-28T04:26:56+09:00,http://www.hareruyamtg.com/jp/g/gOGW000157JN/,
creature,Zulaport Cutthroat,2,1B,nil,90,2016-05-28T04:26:57+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000126JN/,
info,29 Creatures 6210
spell,Collected Company,4,3G,nil,2900,2016-05-28T04:26:59+09:00,http://www.hareruyamtg.com/jp/g/gDTK000026JN/,
spell,Cryptolith Rite,3,1G,C-A,700,2016-05-28T04:27:01+09:00,http://www.hareruyamtg.com/jp/g/gSOI000200JN/,
info,7 Spells 13700
info,60 MainboardCards 28610 100 W8U4B6R0G29C0
sideboardCards,Enlightened Ascetic,1,1W,nil,20,2016-05-28T04:27:03+09:00,http://www.hareruyamtg.com/jp/g/gORI000012JN/,
sideboardCards,Reality Smasher,4,4C,nil,1100,2016-05-28T04:27:04+09:00,http://www.hareruyamtg.com/jp/g/gOGW000007JN/,
sideboardCards,Sylvan Advocate,4,1G,nil,1100,2016-05-28T04:27:06+09:00,http://www.hareruyamtg.com/jp/g/gOGW000144JN/,
sideboardCards,Thought-Knot Seer,2,3C,nil,1400,2016-05-28T04:27:07+09:00,http://www.hareruyamtg.com/jp/g/gOGW000009JN/,
sideboardCards,Negate,2,1U,nil,30,2016-05-28T04:27:10+09:00,http://www.hareruyamtg.com/jp/g/gOGW000059JN/,
sideboardCards,Transgress the Mind,2,1B,nil,300,2016-05-28T04:27:12+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000101JN/,
info,15 SideboardCards 12280 46 W1U2B2R0G4C6
info,http://www.hareruyamtg.com//jp/k/kD02930W/
